Unnamed: 0,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
403,3.0,2.0,4.0,9 a 15 años,6,$ 285.173 COP,"$ 4.974.489,8*m²",1.0,Excelente,SinDato,487500000,98,98
404,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
405,3.0,2.0,6.0,9 a 15 años,9,$ 496.000 COP,"$ 6.605.769,23*m²",2.0,Excelente,SinDato,687000000,104,104
406,1.0,1.0,6.0,16 a 30 años,1,$ 145.000 COP,"$ 9.285.714,29*m²",1.0,SinDato,SinDato,260000000,28,28
407,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
408,1.0,1.0,3.0,1 a 8 años,16,$ 107.000 COP,$ 5.000.000*m²,1.0,SinDato,SinDato,150000000,30,30
409,3.0,4.0,6.0,16 a 30 años,5,$ 748.000 COP,"$ 4.131.736,53*m²",2.0,Excelente,SinDato,690000000,167,167
410,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
411,3.0,2.0,5.0,9 a 15 años,1,$ 215.000 COP,"$ 4.722.222,22*m²",1.0,Excelente,SinDato,340000000,72,72
412,3.0,2.0,4.0,9 a 15 años,2,$ 308.000 COP,"$ 3.882.352,94*m²",1.0,Excelente,SinDato,330000000,85,85
413,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
414,3.0,2.0,4.0,9 a 15 años,3,$ 350.000 COP,"$ 5.252.525,25*m²",1.0,Excelente,SinDato,520000000,99,93
415,2.0,2.0,5.0,1 a 8 años,14,$ 335.000 COP,$ 5.750.000*m²,2.0,Excelente,SinDato,460000000,80,0
416,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
417,3.0,2.0,5.0,9 a 15 años,2,$ 370.000 COP,"$ 3.652.173,91*m²",1.0,SinDato,SinDato,420000000,115,0
418,3.0,2.0,4.0,1 a 8 años,12,$ 230.000 COP,"$ 5.779.220,78*m²",2.0,Excelente,SinDato,445000000,77,74
419,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
420,3.0,4.0,6.0,más de 30 años,7,$ 1.070.000 COP,"$ 3.636.363,64*m²",3.0,SinDato,SinDato,1200000000,330,0
421,3.0,4.0,6.0,1 a 8 años,1,$ 883.000 COP,"$ 6.221.198,16*m²",3.0,Bueno,SinDato,1350000000,217,217
422,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,825894200,SinDato,SinDato
423,2.0,3.0,6.0,SinDato,SinDato,$ 370.000 COP,$ 4.525.000*m²,2.0,SinDato,SinDato,543000000,120,0
424,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,165000000,SinDato,SinDato
425,3.0,1.0,3.0,1 a 8 años,16,$ 160.000 COP,"$ 3.541.666,67*m²",1.0,Excelente,SinDato,170000000,48,48
426,3.0,3.0,4.0,9 a 15 años,5,$ 300.000 COP,"$ 4.429.347,83*m²",1.0,Excelente,SinDato,407500000,92,92
427,2.0,1.0,4.0,9 a 15 años,15,$ 140.000 COP,"$ 3.928.571,43*m²",SinDato,Excelente,SinDato,165000000,42,42
428,3.0,2.0,4.0,16 a 30 años,3,$ 110.000 COP,"$ 5.266.666,67*m²",1.0,Excelente,SinDato,395000000,75,75
429,3.0,3.0,5.0,más de 30 años,3,$ 150.000 COP,"$ 4.196.428,57*m²",1.0,Bueno,SinDato,470000000,112,112
